epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
151,1545.38,1.26816,0.78805,1.18843,0.86996,0.80992,0.87378,0.54004,1.32802,0.79066,1.32295,0.000183855,0.000183855,0.000183855
152,1555.52,1.26768,0.79826,1.17572,0.90717,0.80263,0.872,0.55293,1.28552,0.7745,1.29812,0.000180321,0.000180321,0.000180321
153,1565.7,1.26191,0.78206,1.17985,0.84329,0.79955,0.86509,0.53488,1.36043,0.81822,1.33996,0.000176786,0.000176786,0.000176786
154,1576.05,1.29355,0.80598,1.18625,0.87346,0.79778,0.8586,0.5339,1.32386,0.79143,1.317,0.000173252,0.000173252,0.000173252
155,1586.58,1.24889,0.78275,1.18395,0.90519,0.78146,0.86701,0.53427,1.33188,0.77849,1.3361,0.000169718,0.000169718,0.000169718
156,1596.97,1.26024,0.7897,1.16958,0.87626,0.81949,0.87422,0.54948,1.31246,0.77765,1.31377,0.000166183,0.000166183,0.000166183
157,1607,1.24728,0.78868,1.19095,0.86987,0.80385,0.8745,0.54129,1.3231,0.79236,1.32126,0.000162649,0.000162649,0.000162649
158,1616.99,1.28092,0.78254,1.18602,0.88192,0.811,0.86131,0.53662,1.33408,0.78868,1.3258,0.000159115,0.000159115,0.000159115
159,1627.37,1.26768,0.79858,1.17563,0.8826,0.80684,0.86112,0.53598,1.33218,0.78727,1.32858,0.000155581,0.000155581,0.000155581
160,1637.53,1.26302,0.76228,1.18048,0.86094,0.81077,0.8651,0.53936,1.32691,0.80427,1.32563,0.000152046,0.000152046,0.000152046
161,1647.43,1.24746,0.76195,1.17182,0.8679,0.81683,0.87392,0.54083,1.32663,0.78462,1.32115,0.000148512,0.000148512,0.000148512
162,1657.29,1.2326,0.76083,1.17053,0.91196,0.77957,0.86571,0.53697,1.33182,0.78854,1.32246,0.000144978,0.000144978,0.000144978
163,1667.59,1.22127,0.73139,1.158,0.88945,0.78873,0.86343,0.54091,1.32667,0.77833,1.31995,0.000141443,0.000141443,0.000141443
164,1677.7,1.23517,0.78025,1.18666,0.85068,0.80742,0.86701,0.54116,1.3127,0.78412,1.31153,0.000137909,0.000137909,0.000137909
165,1687.65,1.27087,0.7684,1.17539,0.86133,0.80959,0.87039,0.53793,1.31797,0.77919,1.30782,0.000134375,0.000134375,0.000134375
166,1697.64,1.22438,0.75378,1.1548,0.91203,0.76842,0.86385,0.53581,1.33004,0.79655,1.3172,0.000130841,0.000130841,0.000130841
167,1707.68,1.21355,0.74497,1.16987,0.87933,0.79679,0.87597,0.54247,1.32827,0.77936,1.31898,0.000127306,0.000127306,0.000127306
168,1718.37,1.26483,0.77611,1.18202,0.881,0.81296,0.87077,0.54522,1.30303,0.76792,1.31836,0.000123772,0.000123772,0.000123772
169,1728.68,1.22333,0.7542,1.16627,0.87278,0.80797,0.86527,0.54301,1.31979,0.76766,1.3281,0.000120238,0.000120238,0.000120238
170,1738.85,1.25169,0.79758,1.20059,0.89364,0.7872,0.86645,0.53687,1.34187,0.76876,1.32861,0.000116703,0.000116703,0.000116703
171,1749.37,1.23988,0.77348,1.17266,0.88258,0.79648,0.87575,0.5454,1.30867,0.7655,1.31035,0.000113169,0.000113169,0.000113169
172,1759.74,1.2105,0.75405,1.15357,0.89209,0.78595,0.86714,0.5398,1.32525,0.76372,1.31822,0.000109635,0.000109635,0.000109635
173,1770.07,1.24249,0.78141,1.16378,0.89592,0.79608,0.87373,0.54837,1.31112,0.76139,1.31572,0.0001061,0.0001061,0.0001061
174,1779.96,1.22814,0.73625,1.17973,0.88062,0.80754,0.87032,0.54239,1.30694,0.77322,1.31553,0.000102566,0.000102566,0.000102566
175,1790.03,1.22326,0.76343,1.16794,0.90981,0.75861,0.86076,0.53893,1.31504,0.78159,1.316,9.90318e-05,9.90318e-05,9.90318e-05
176,1800.49,1.22157,0.74669,1.15871,0.90448,0.78056,0.8714,0.54155,1.30381,0.76914,1.2981,9.54975e-05,9.54975e-05,9.54975e-05
177,1810.68,1.2349,0.75017,1.15205,0.87372,0.76677,0.85789,0.53973,1.33133,0.78957,1.31488,9.19632e-05,9.19632e-05,9.19632e-05
